"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/Construct.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/Construct.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/Construct.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/Monolith.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/Monolith.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 1, 18
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net9.0/Monolith.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Monolith.csproj.nuget.dgspec.json", "JSON", 0, 0, 85, 0, 0, 0, 85
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Monolith.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Monolith.csproj.nuget.g.targets", "XML", 6, 0, 0, 0, 0, 0, 6
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/Construct.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/Construct.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/Construct.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-arm64/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-arm64/Construct.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-arm64/Construct.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-arm64/Construct.deps.json", "JSON", 0, 0, 936, 0, 0, 0, 936
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-arm64/Construct.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-x64/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-x64/Construct.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-x64/Construct.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-x64/Construct.deps.json", "JSON", 0, 0, 936, 0, 0, 0, 936
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/osx-x64/Construct.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/win-x64/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/win-x64/Construct.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/win-x64/Construct.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/win-x64/Construct.deps.json", "JSON", 0, 0, 201, 0, 0, 0, 201
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net8.0/win-x64/Construct.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/Monolith.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/Monolith.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 1, 18
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/Monolith.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-arm64/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-arm64/Monolith.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-arm64/Monolith.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 1, 18
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-arm64/Monolith.deps.json", "JSON", 0, 0, 768, 0, 0, 0, 768
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-arm64/Monolith.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-x64/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-x64/Monolith.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-x64/Monolith.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 1, 18
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-x64/Monolith.deps.json", "JSON", 0, 0, 768, 0, 0, 0, 768
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/osx-x64/Monolith.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/win-x64/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/win-x64/Monolith.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/win-x64/Monolith.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 1, 18
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/win-x64/Monolith.deps.json", "JSON", 0, 0, 766, 0, 0, 0, 766
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Release/net9.0/win-x64/Monolith.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/project.assets.json", "JSON", 0, 0, 355, 0, 0, 0, 355
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"Total", "-", 98, 5358, 15103, 175, 991, 1339, 23064
